age,salary,city_type,education_level,employment_type,marital_status,dependents,risk_level,financial_knowledge,monthly_expenses,current_savings,loan_amount,has_loans,investment_goal,emergency_fund_ratio,stocks,mutual_funds,gold_silver,bonds
58,164000,2,2,1,1,2,1,1,91500,25000,990000,1,1,0.273224043715847,0.05,0.29,0.2,0.45999999999999996
48,9000,2,2,4,1,2,1,1,6000,0,230000,1,1,0.0,0.05,0.29,0.2,0.45999999999999996
34,22000,1,1,3,1,2,1,2,17000,5000,0,0,2,0.29411764705882354,0.16999999999999998,0.3,0.2,0.33000000000000007
62,130000,3,3,2,1,2,1,2,52000,40000,1070000,1,1,0.7692307692307693,0.05,0.32,0.2,0.42999999999999994
27,11000,1,2,4,0,0,1,2,6000,0,80000,1,3,0.0,0.20499999999999996,0.3,0.19,0.30500000000000016
40,70000,3,1,1,1,3,1,1,37000,20000,370000,1,2,0.5405405405405406,0.05,0.27,0.2,0.48
58,9000,1,2,4,1,2,1,2,7000,0,0,0,1,0.0,0.05,0.3,0.2,0.44999999999999996
38,110000,1,2,1,1,2,2,2,93500,35000,910000,1,2,0.37433155080213903,0.26999999999999996,0.19999999999999998,0.17666666666666667,0.3533333333333334
42,150000,1,3,1,1,1,2,2,80000,25000,1010000,1,2,0.3125,0.25,0.19999999999999998,0.19000000000000003,0.36
30,131000,1,3,1,1,1,2,2,97000,30000,710000,1,2,0.30927835051546393,0.31,0.19999999999999998,0.15,0.33999999999999997
30,72000,2,3,1,1,3,1,2,48000,10000,70000,1,2,0.20833333333333334,0.13999999999999999,0.33999999999999997,0.2,0.32000000000000006
43,106000,2,1,1,1,2,1,1,56500,30000,900000,1,2,0.5309734513274337,0.05,0.29,0.2,0.45999999999999996
55,173000,1,2,2,1,2,1,2,147000,55000,1160000,1,1,0.3741496598639456,0.06499999999999996,0.3,0.2,0.43500000000000005
59,122000,3,2,2,1,2,1,2,73500,50000,1160000,1,1,0.6802721088435374,0.05,0.32,0.2,0.42999999999999994
